BJD RV eRV FWHM BIS Sind eSind Halpha eHalpha
2458436.766006 10941.61 0.31 8722.92 -0.0467 0.15879 4.1e-05 0.190529 1.7e-05
2458439.678841 10933.94 0.31 8725.38 -0.0466 0.158255 3.9e-05 0.190534 1.7e-05
2458439.680831 10933.18 0.29 8725.44 -0.0463 0.158651 3.6e-05 0.190382 1.6e-05
2458444.813039 10929.18 0.26 8726.5 -0.0464 0.160854 2.9e-05 0.190605 1.3e-05
2458444.815013 10930.75 0.29 8721.99 -0.046 0.161734 3.5e-05 0.190878 1.5e-05
2458444.816892 10929.16 0.3 8724.3 -0.0461 0.158863 3.8e-05 0.190571 1.6e-05
2458444.818835 10932.52 0.31 8723.46 -0.0461 0.15797 4.1e-05 0.190576 1.7e-05
2458444.820721 10927.61 0.32 8719.17 -0.0469 0.158263 4.2e-05 0.190959 1.8e-05
2458444.822637 10931.24 0.3 8724.81 -0.0477 0.159925 3.8e-05 0.190713 1.6e-05
2458444.830071 10930.36 0.35 8723.85 -0.0474 0.162184 4.9e-05 0.190278 2e-05
2458459.637836 10913.52 0.37 8718.15 -0.0389 0.155297 5.2e-05 0.18988 2.1e-05
2458459.639842 10914.1 0.34 8720.44 -0.0389 0.156342 4.5e-05 0.189819 1.9e-05
2458459.641863 10914.53 0.4 8716.13 -0.0376 0.154923 5.9e-05 0.18995 2.3e-05
2458459.643734 10914.72 0.35 8721.98 -0.0388 0.153385 4.8e-05 0.189659 2e-05
2458459.645708 10912.17 0.33 8721.88 -0.0393 0.157228 4.4e-05 0.189653 1.8e-05
2458459.647579 10915.48 0.39 8720.83 -0.0385 0.155091 5.7e-05 0.189771 2.2e-05
2458463.774276 10908.73 0.28 8724.03 -0.0372 0.157404 3.3e-05 0.19046 1.4e-05
2458463.77619 10908.69 0.24 8724.62 -0.0377 0.158986 2.6e-05 0.190402 1.2e-05
2458463.77816 10909.12 0.24 8723.37 -0.038 0.159219 2.6e-05 0.190275 1.2e-05
2458463.780114 10908.54 0.23 8725.96 -0.0379 0.159331 2.4e-05 0.190637 1.1e-05
2458463.782047 10908.85 0.24 8725.1 -0.0388 0.158784 2.7e-05 0.190313 1.2e-05
2458463.784016 10907.72 0.24 8724.16 -0.0389 0.158926 2.7e-05 0.19005 1.2e-05
2458466.665784 10906.6 0.24 8724.27 -0.038 0.158678 2.5e-05 0.190576 1.2e-05
2458466.667701 10904.63 0.24 8725.66 -0.0381 0.158671 2.6e-05 0.19053 1.2e-05
2458466.669642 10906.31 0.24 8724.43 -0.0383 0.158971 2.6e-05 0.190574 1.2e-05
2458466.671648 10905.57 0.24 8724.42 -0.0381 0.158641 2.5e-05 0.19077 1.2e-05
2458466.673617 10906.15 0.25 8722.36 -0.038 0.157821 2.8e-05 0.190829 1.3e-05
2458466.675552 10905.15 0.22 8726.24 -0.0378 0.158916 2.1e-05 0.190372 1.1e-05
2458470.705487 10899.89 0.26 8726.94 -0.0377 0.157474 3.2e-05 0.190449 1.3e-05
2458470.707414 10901.53 0.27 8724.26 -0.0386 0.157109 3.3e-05 0.190519 1.4e-05
2458470.7094 10898.77 0.26 8725.89 -0.0377 0.157565 3e-05 0.190521 1.3e-05
2458470.711348 10901.92 0.27 8726.14 -0.0381 0.158398 3.3e-05 0.190721 1.4e-05
2458470.713194 10900.39 0.3 8724.15 -0.0376 0.156842 3.8e-05 0.190395 1.6e-05
2458470.715185 10900.72 0.27 8726.69 -0.0368 0.156914 3.3e-05 0.190667 1.4e-05
2458488.562461 10878.06 0.24 8724.24 -0.036 0.158039 2.6e-05 0.190502 1.2e-05
2458488.56442 10876.57 0.24 8722.88 -0.0354 0.157456 2.6e-05 0.190874 1.2e-05
2458488.566414 10878.55 0.24 8723.68 -0.0366 0.158 2.5e-05 0.19055 1.2e-05
2458488.568306 10875.91 0.25 8723.48 -0.0354 0.157442 2.7e-05 0.190086 1.3e-05
2458488.570217 10877.84 0.24 8724.39 -0.0366 0.157998 2.7e-05 0.190404 1.2e-05
2458488.57217 10878.04 0.25 8722.46 -0.0367 0.157468 2.8e-05 0.190374 1.3e-05
2458488.739076 10876.19 0.69 8732.68 -0.0353 0.142283 0.000135 0.190081 4.2e-05
2458488.741026 10880.48 0.79 8715.85 -0.033 0.122932 0.00016 0.190754 4.8e-05
2458488.742967 10881.39 0.62 8709.19 -0.0331 0.145728 0.000116 0.19142 3.8e-05
2458488.744922 10879.49 0.6 8714.19 -0.0342 0.144322 0.000111 0.190315 3.6e-05
2458488.746951 10876.72 0.79 8716.15 -0.0353 0.127552 0.000159 0.190213 4.8e-05
2458488.748971 10882.22 0.87 8714.8 -0.0325 0.108122 0.00018 0.191077 5.3e-05
2458489.767025 10875.17 0.42 8724.05 -0.0368 0.153369 6.4e-05 0.190257 2.4e-05
2458489.768842 10876.05 0.41 8724.63 -0.0379 0.153245 6.2e-05 0.190346 2.4e-05
2458489.770853 10876.68 0.43 8721.85 -0.0367 0.152459 6.7e-05 0.189955 2.5e-05
2458489.772787 10875.96 0.43 8722.39 -0.0377 0.153845 6.8e-05 0.190134 2.5e-05
2458489.774704 10877.84 0.39 8723.04 -0.0362 0.153318 5.9e-05 0.19062 2.2e-05
