BJD RV_mlc e_RV_mlc FWHM_DRS BIS CONTRAST_DRS dLW Halpha MLCRX DLW NAD1 NAD2
2455128.86730067 -102.879948029984 0.887633299584612 7.65116429374821 -0.00121350963300593 41.3004635330814 -37.2332980970879 0.406618991016389 -2.34258357667902 -37.2332980970879 0.350066366154174 0.484495323109534
2455129.85860061 -105.095964300018 0.928653581726862 7.65052031567971 -0.000443187223385877 41.2919785428327 -34.8508960578688 0.402887046840968 -6.85365475256083 -34.8508960578688 0.359830371798236 0.485166551558594
2455129.86186322 -104.172353973865 0.977190313380048 7.65273860792154 -0.00207959392775692 41.2912241313734 -32.8305801710559 0.403418590489272 -8.34812424771665 -32.8305801710559 0.359758724535241 0.484655573705992
2455129.86506298 -105.262955467067 0.916627130651406 7.65181788331764 -0.000456029079108689 41.2890385341897 -35.5073842249503 0.403497120050941 -8.24808422983909 -35.5073842249503 0.359801033950607 0.484549358687037
2455133.83559981 -104.069630325031 0.873659835116738 7.65614034087128 -0.00164085039376616 41.2828780203923 -33.1139168733102 0.402701403150212 -11.1633608239398 -33.1139168733102 0.360014178981891 0.487121929169145
2455133.84138183 -104.578091425937 0.868582971644466 7.65332070439031 -0.000249705203616557 41.2840286672033 -31.8794272225529 0.402130546829203 -5.41491484490884 -31.8794272225529 0.359259006212823 0.486333512936835
2455135.81456605 -106.060551581539 0.74492797179274 7.65435447588706 -0.000822028672120112 41.285853850793 -32.0265062485776 0.402527948091028 -2.74746791323004 -32.0265062485776 0.350838127098719 0.473587689355707
2455135.8200961 -105.131606908916 0.771331534644503 7.65448154637586 -0.000622929250759796 41.2830893995026 -31.6679941441051 0.402739361983556 -2.53360663141769 -31.6679941441051 0.351420052656601 0.475583267020402
2455138.83253644 -103.612021493618 0.81256857060119 7.6569458781721 0.000768762244724996 41.2650500444754 -28.3511668645733 0.403681675984285 0.1403396723703 -28.3511668645733 0.346246345500265 0.480312308975151
2455138.83783663 -102.889503645924 0.834012343886788 7.65730308530082 -0.00115591768403789 41.26746149802 -29.3338737158822 0.403474137467934 0.717780972650763 -29.3338737158822 0.346020140117073 0.47950035711229
2455140.80494368 -103.772213014988 0.950144581364421 7.65485791876668 -0.000957084121480989 41.2741806664703 -31.4520431312921 0.404378251198865 -3.80080082951429 -31.4520431312921 0.357245204544878 0.481952542803961
2455140.81036265 -103.259833763619 0.886939664040149 7.65367513353314 -0.000437228663768607 41.2876945512146 -33.2925113506744 0.404056160016404 -4.49428772572845 -33.2925113506744 0.356407527013478 0.482368663247885
2455164.65981703 -104.513555009097 0.924711073886629 7.65742402703298 -0.00262718161321551 41.2719792215237 -29.6195763358838 0.404312985493991 4.15671662351731 -29.6195763358838 0.351873468855816 0.485160581675963
2455164.663096 -103.859203895052 0.991886661993105 7.65544632132285 -2.80500999974009e-05 41.275793543085 -30.0648100422393 0.405224750219067 6.32855182535907 -30.0648100422393 0.351073953763082 0.485624692289983
2455164.66637185 -103.74972847484 0.919750335724167 7.65305955657808 -0.0010301812314335 41.2821569968801 -31.9273799088316 0.404856018569034 6.37399887201164 -31.9273799088316 0.351221749296138 0.48511842768831
2455166.61516505 -105.211746181529 0.868889552680076 7.65518949500749 0.000669179862622826 41.2802836635972 -31.7839247069411 0.404010723116168 -3.65362624695179 -31.7839247069411 0.354797655113588 0.482009528692297
2455166.61846891 -106.504486210696 0.858682060016778 7.656548710977 2.43610717127751e-05 41.2797038331381 -30.1643349974718 0.403557494632414 -9.18276708124276 -30.1643349974718 0.35607584092581 0.481471978074321
2455166.62178919 -105.757384575316 0.918752401994177 7.65832649459816 -0.00106086761622315 41.2748658483801 -31.0993047144174 0.404339314452766 -5.70182188658762 -31.0993047144174 0.354720519451804 0.481972280093946
2455167.63459976 -105.999783168596 0.975875003057236 7.65546183864726 0.00207523961537426 41.2728890945495 -29.8426406043993 0.404170207416085 5.3037670806131 -29.8426406043993 0.35649893521004 0.474877198333611
2455167.63721946 -106.71036994518 0.867938718064945 7.6560141427542 0.00249148806704014 41.2711770193642 -30.6638787745841 0.403789256831311 4.59850631939326 -30.6638787745841 0.356452767409464 0.474726079641759
2455167.63995106 -105.657322828441 0.999285505985135 7.65430690697618 0.00026579229302115 41.2641428564257 -29.6127107327358 0.403460795449636 2.61733602569779 -29.6127107327358 0.357511550178118 0.476639184044046
2455167.6425844 -105.083080979947 0.95493722122781 7.65442746664935 0.00122732299288231 41.274767661888 -30.9038480550222 0.403845153617849 12.7640340401512 -30.9038480550222 0.357553475983609 0.475209342661061
