BJD RV eRV FWHM BIS Sind eSind Halpha eHalpha
2458421.784689 69.0599999999995 0.19 8722.83 -0.0478 0.160605 1.8e-05 0.189782 9e-06
2458421.78665 68.9599999999991 0.2 8724.29 -0.0482 0.160399 1.9e-05 0.189852 9e-06
2458421.7886 68.0899999999983 0.2 8724.14 -0.0477 0.160464 1.9e-05 0.19033 9e-06
2458421.790528 69.6299999999992 0.21 8722.22 -0.0478 0.16024 2.2e-05 0.190253 1e-05
2458421.79251 68.0399999999991 0.2 8724.3 -0.0473 0.160781 2e-05 0.189731 1e-05
2458421.794467 69.3499999999985 0.19 8723.43 -0.048 0.160599 1.8e-05 0.19 9e-06
2458422.84864 71.0299999999988 0.23 8723.62 -0.0482 0.160193 2.6e-05 0.18995 1.2e-05
2458422.85058 69.6499999999996 0.23 8727.56 -0.0475 0.159991 2.5e-05 0.189893 1.1e-05
2458422.852534 70.9399999999987 0.22 8723.26 -0.0487 0.159621 2.4e-05 0.190347 1.1e-05
2458422.854464 69.8299999999999 0.22 8725.19 -0.048 0.160634 2.3e-05 0.190319 1.1e-05
2458422.856356 70.8499999999985 0.23 8724.14 -0.048 0.16023 2.6e-05 0.190295 1.2e-05
2458422.858326 69.9699999999993 0.24 8725.11 -0.0477 0.15993 2.7e-05 0.190455 1.2e-05
2458424.813795 71.1099999999988 0.19 8724.2 -0.0473 0.159701 1.8e-05 0.190291 9e-06
2458424.815708 68.8399999999983 0.2 8725.25 -0.0476 0.160082 1.9e-05 0.190081 1e-05
2458424.817657 72.5599999999995 0.21 8723.01 -0.0489 0.159472 2.1e-05 0.190333 1e-05
2458424.819617 70.119999999999 0.2 8727.08 -0.0486 0.160319 1.9e-05 0.189962 1e-05
2458424.821571 69.5999999999985 0.19 8722.56 -0.0486 0.159821 1.8e-05 0.190148 9e-06
2458424.823501 71.3299999999999 0.19 8726.67 -0.0475 0.16087 1.7e-05 0.189852 9e-06
2458426.777649 68.9199999999983 0.3 8723.86 -0.0484 0.156921 4e-05 0.190234 1.6e-05
2458426.779718 68.6699999999983 0.36 8724.55 -0.0474 0.156244 5.3e-05 0.190286 2e-05
2458426.781666 67.9899999999998 0.29 8725.56 -0.0478 0.15756 3.7e-05 0.190495 1.5e-05
2458426.783602 69.4699999999993 0.26 8723.94 -0.048 0.158638 3.1e-05 0.189941 1.4e-05
2458426.785543 67.619999999999 0.24 8725.8 -0.0479 0.158599 2.8e-05 0.190041 1.2e-05
2458426.787526 68.5399999999991 0.24 8724.39 -0.0481 0.158647 2.8e-05 0.189983 1.2e-05
2458432.627967 63.7699999999986 0.25 8725.11 -0.0475 0.159216 2.9e-05 0.190335 1.2e-05
2458432.629877 64.5499999999993 0.24 8724.26 -0.0482 0.158854 2.9e-05 0.190051 1.2e-05
2458432.631839 64.4399999999987 0.26 8723.28 -0.047 0.158729 3.2e-05 0.190561 1.3e-05
2458432.633696 64.8799999999992 0.26 8725.39 -0.0472 0.158747 3.1e-05 0.190441 1.3e-05
2458432.635683 65.869999999999 0.27 8723.79 -0.0462 0.158974 3.5e-05 0.190641 1.4e-05
2458432.637589 63.8899999999994 0.3 8723.14 -0.046 0.157675 4.1e-05 0.190676 1.6e-05
2458436.756332 66.4699999999993 0.35 8722.94 -0.0476 0.156801 4.9e-05 0.19005 2e-05
2458436.75844 67.0099999999984 0.38 8720.62 -0.0477 0.158168 5.6e-05 0.190671 2.2e-05
2458436.760186 66.1899999999987 0.33 8722.76 -0.0488 0.157964 4.4e-05 0.191091 1.8e-05
2458436.762168 66.7399999999998 0.27 8722.26 -0.0464 0.158801 3.2e-05 0.190363 1.4e-05
2458436.76415 64.9899999999998 0.29 8724.16 -0.0474 0.158418 3.5e-05 0.190713 1.5e-05
2458436.766006 66.8199999999997 0.31 8722.92 -0.0467 0.15879 4.1e-05 0.190529 1.7e-05
2458439.678841 59.1499999999996 0.31 8725.38 -0.0466 0.158255 3.9e-05 0.190534 1.7e-05
2458439.680831 58.3899999999994 0.29 8725.44 -0.0463 0.158651 3.6e-05 0.190382 1.6e-05
2458444.813039 54.3899999999994 0.26 8726.5 -0.0464 0.160854 2.9e-05 0.190605 1.3e-05
2458444.815013 55.9599999999991 0.29 8721.99 -0.046 0.161734 3.5e-05 0.190878 1.5e-05
2458444.816892 54.369999999999 0.3 8724.3 -0.0461 0.158863 3.8e-05 0.190571 1.6e-05
2458444.818835 57.7299999999996 0.31 8723.46 -0.0461 0.15797 4.1e-05 0.190576 1.7e-05
2458444.820721 52.8199999999997 0.32 8719.17 -0.0469 0.158263 4.2e-05 0.190959 1.8e-05
